編號,案類,發生(現)日期,發生時段,發生(現)地點
671,自行車竊盜,1051029,19~21,台北市大安區龍門里捷運大安森林公園站1 ~ 30號出口
672,自行車竊盜,1051030,16~18,台北市文山區萬年里汀州路4段1 ~ 30號
673,自行車竊盜,1051031,07~09,台北市文山區萬年里汀州路4段61 ~ 90號
674,自行車竊盜,1051031,07~09,台北市大同區南芳里迪化街1段331 ~ 360號
675,自行車竊盜,1051031,10~12,台北市北投區開明里復興四路61 ~ 90號
676,自行車竊盜,1051031,19~21,台北市大安區龍陣里復興南路2段148巷1 ~ 30號
677,自行車竊盜,1051101,13~15,台北市文山區萬祥里羅斯福路5段181 ~ 210號
678,自行車竊盜,1051101,16~18,台北市北投區一德里大度路3段296巷31 ~ 60號
679,自行車竊盜,1051101,19~21,台北市文山區忠順里002鄰興隆路4段121 ~ 150號
680,自行車竊盜,1051102,01~03,台北市內湖區南京東路6段241 ~ 270號
681,自行車竊盜,1051102,07~09,台北市北投區大同里光明路1 ~ 30號
682,自行車竊盜,1051102,16~18,台北市大同區光能里雙連捷運站1 ~ 30號出口
683,自行車竊盜,1051102,22~24,台北市信義區三張里莊敬路423巷7弄
684,自行車竊盜,1051105,07~09,台北市大安區虎嘯里敦化南路2段181 ~ 210號
685,自行車竊盜,1051106,07~09,台北市士林區忠誠里德行東路104巷9弄1 ~ 30號
686,自行車竊盜,1051106,10~12,台北市松山區光復南路66巷61 ~ 90號
687,自行車竊盜,1051106,13~15,台北市大同區建功里建成國中正門口
688,自行車竊盜,1051107,10~12,台北市萬華區桂林路31 ~ 60號
689,自行車竊盜,1051109,22~24,台北市大安區通安里5鄰文昌街151 ~ 180號
690,自行車竊盜,1051110,13~15,台北市大安區龍門里信義路3段91 ~ 120號捷運大安森林公園站5號出口
691,自行車竊盜,1051112,07~09,台北市中正區建國里中山南路1 ~ 30號
692,自行車竊盜,1051112,10~12,台北市大安區新龍里建國南路2段121 ~ 150號
693,自行車竊盜,1051113,13~15,台北市大安區龍門里信義路3段91 ~ 120號捷運大安森林公園站5號出口
694,自行車竊盜,1051114,10~12,台北市文山區順興里018鄰恆光街17巷1 ~ 30號
695,自行車竊盜,1051114,10~12,台北市文山區樟文里007鄰木新路3段232巷1 ~ 30號
696,自行車竊盜,1051115,10~12,台北市文山區景行里景興路42巷2弄
697,自行車竊盜,1051116,04~06,台北市大安區仁慈里仁愛路4段8巷1 ~ 30號
698,自行車竊盜,1051116,07~09,台北市文山區景行里羅斯福路6段401巷旁
699,自行車竊盜,1051116,13~15,台北市大安區新龍里建國南路2段121 ~ 150號
700,自行車竊盜,1051117,04~06,台北市大安區敦安里仁愛路4段122巷1 ~ 30號
701,自行車竊盜,1051118,19~21,台北市北投區清江里中央南路1段181 ~ 210號
702,自行車竊盜,1051119,13~15,台北市文山區興光里興隆路3段115巷內
703,自行車竊盜,1051119,13~15,台北市大同區老師里環河北路2段361 ~ 390號
704,自行車竊盜,1051119,13~15,台北市文山區興家里13鄰興隆路3段211 ~ 240號
705,自行車竊盜,1051119,16~18,台北市大安區龍雲里大安路2段61 ~ 90號
706,自行車竊盜,1051120,10~12,台北市中正區文北里杭州南路1段131巷1 ~ 30號
707,自行車竊盜,1051120,10~12,台北市信義區信義路5段運山捷運站1 ~ 30號出口
708,自行車竊盜,1051120,16~18,台北市南港區南港里市民大道8段(南港火車站天橋下)
709,自行車竊盜,1051123,04~06,台北市信義區中興里信義路4段391 ~ 420號
710,自行車竊盜,1051125,22~24,台北市信義區廣居里忠孝東路5段421 ~ 450號
711,自行車竊盜,1051126,07~09,台北市士林區承德里18鄰基河路1 ~ 30號捷運劍潭站2號出口
712,自行車竊盜,1051126,19~21,台北市文山區萬隆里羅斯福路5段211 ~ 240號
713,自行車竊盜,1051127,10~12,台北市北投區大同里光明路1 ~ 30號
714,自行車竊盜,1051128,13~15,台北市萬華區西門捷運站六號出口處
715,自行車竊盜,1051129,19~21,台北市大安區龍生里瑞安街135巷1 ~ 30號
716,自行車竊盜,1051130,04~06,台北市萬華區環河南路2段250巷33弄1 ~ 30號
