編號,案類,發生(現)日期,發生時段,發生(現)地點
916,自行車竊盜,1060708,10~12,台北市中山區松江路301 ~ 330號
917,自行車竊盜,1060708,19~21,台北市萬華區開封街2段61 ~ 90號
918,自行車竊盜,1060710,07~09,台北市士林區福德里中正路391 ~ 420號
919,自行車竊盜,1060710,13~15,台北市大同區民權里民權西路121 ~ 150號
920,自行車竊盜,1060712,10~12,台北市大安區龍坡里溫州街18巷1 ~ 30號
921,自行車竊盜,1060712,10~12,台北市文山區景行里景興路181 ~ 210號
922,自行車竊盜,1060715,01~03,台北市北投區榮華里明德路208巷1 ~ 30號
923,自行車竊盜,1060715,13~15,台北市中山區合江街170巷1 ~ 30號
924,自行車竊盜,1060716,13~15,台北市中正區東門里信義路1段1 ~ 30號
925,自行車竊盜,1060718,04~06,台北市南港區南港公園
926,自行車竊盜,1060718,07~09,台北市信義區富台里忠孝東路5段423巷4弄1 ~ 30號
927,自行車竊盜,1060718,10~12,台北市中正區三愛里連雲街61 ~ 90號
928,自行車竊盜,1060719,19~21,台北市北投區裕民里懷德街55巷1 ~ 30號
929,自行車竊盜,1060721,07~09,台北市文山區興邦里3鄰興隆路2段151 ~ 180號
930,自行車竊盜,1060722,07~09,台北市松山區延壽街391 ~ 420號
931,自行車竊盜,1060722,16~18,台北市松山區民生東路5段36巷4弄1 ~ 30號
932,自行車竊盜,1060724,04~06,台北市大同區重慶北路2段涼州街
933,自行車竊盜,1060725,10~12,台北市信義區五全里永吉路278巷37弄1 ~ 30號
934,自行車竊盜,1060725,10~12,台北市大安區龍安里金華街
935,自行車竊盜,1060725,16~18,台北市大安區德安里四維路31 ~ 60號
936,自行車竊盜,1060726,07~09,台北市北投區永明里石牌路1段181 ~ 210號
937,自行車竊盜,1060728,01~03,台北市文山區明義里003鄰木柵路2段91 ~ 120號
938,自行車竊盜,1060728,22~24,台北市萬華區和德里西園路2段320巷31 ~ 60號
939,自行車竊盜,1060730,07~09,台北市信義區四育里虎林街55巷1 ~ 30號
940,自行車竊盜,1060801,10~12,台北市萬華區西園路2段320巷36弄1 ~ 30號
941,自行車竊盜,1060802,04~06,台北市南港區仁福里福德街361 ~ 390號
942,自行車竊盜,1060802,19~21,台北市大安區龍生里瑞安街244巷31 ~ 60號
943,自行車竊盜,1060803,16~18,台北市文山區景仁里羅斯福路6段151 ~ 180號
944,自行車竊盜,1060803,19~21,台北市士林區德行里福華路128巷1 ~ 30號
945,自行車竊盜,1060805,16~18,台北市中正區南福里羅斯福路2段61 ~ 90號
946,自行車竊盜,1060808,01~03,台北市北投區秀山里中和街502巷14弄1 ~ 30號
947,自行車竊盜,1060808,10~12,台北市松山區民權東路3段106巷3弄
948,自行車竊盜,1060809,16~18,台北市大同區建功里延平北路1段31 ~ 60號
949,自行車竊盜,1060810,19~21,台北市內湖區康寧路3段16巷口(葫洲捷運站出口處)
950,自行車竊盜,1060811,07~09,台北市大安區住安里信義路4段74巷
951,自行車竊盜,1060811,07~09,台北市南港區東明里興華路91 ~ 120號
952,自行車竊盜,1060811,10~12,台北市文山區木柵里010鄰木柵路3段1 ~ 30號
953,自行車竊盜,1060811,10~12,台北市信義區忠孝東路5段391 ~ 420號
954,自行車竊盜,1060811,13~15,台北市北投區清江里三合街2段481 ~ 510號
955,自行車竊盜,1060812,16~18,台北市萬華區青年路178巷1 ~ 30號
956,自行車竊盜,1060812,22~24,台北市南港區南港里市民大道8段361 ~ 390號
957,自行車竊盜,1060813,10~12,台北市內湖區內湖捷運站1 ~ 30號出口
958,自行車竊盜,1060814,07~09,台北市文山區試院里005鄰和興路52巷7弄1 ~ 30號
959,自行車竊盜,1060815,04~06,台北市信義區黎忠里和平東路3段361 ~ 390號
960,自行車竊盜,1060815,16~18,台北市中正區建國里貴陽街1段(司法院旁人行道)
961,自行車竊盜,1060816,19~21,台北市萬華區西園路2段320巷61 ~ 90號
962,自行車竊盜,1060817,07~09,台北市信義區忠孝東路5段451 ~ 480號
963,自行車竊盜,1060817,10~12,台北市大安區龍圖里信義路3段91 ~ 120號
964,自行車竊盜,1060818,22~24,台北市大安區正聲里仁愛路4段421 ~ 450號
965,自行車竊盜,1060820,07~09,台北市大安區義安里安和路2段74巷1 ~ 30號
966,自行車竊盜,1060820,16~18,台北市大安區福住里永康街37巷1 ~ 30號
967,自行車竊盜,1060821,16~18,台北市大安區學府里羅斯福路4段1 ~ 30號
968,自行車竊盜,1060822,13~15,台北市中正區南門里延平南路151 ~ 180號
969,自行車竊盜,1060823,07~09,台北市文山區華興里026鄰木柵路1段光輝路口
970,自行車竊盜,1060823,10~12,台北市北投區永明里石牌路2段91 ~ 120號
971,自行車竊盜,1060824,22~24,台北市松山區敦化北路1 ~ 30號
972,自行車竊盜,1060827,01~03,台北市大安區龍門里大安森林公園捷運站1 ~ 30號
973,自行車竊盜,1060828,01~03,台北市內湖區行善路31 ~ 60號
974,自行車竊盜,1060828,19~21,台北市內湖區行善路25巷40弄1 ~ 30號
975,自行車竊盜,1060830,07~09,台北市信義區大道里大道路121 ~ 150號
976,自行車竊盜,1060830,10~12,台北市大安區福住里新生南路2段31 ~ 60號
977,自行車竊盜,1060831,22~24,台北市北投區福興里致遠一路2段121 ~ 150號
978,自行車竊盜,1060901,16~18,台北市中正區永功里詔安街57巷1 ~ 30號
979,自行車竊盜,1060901,22~24,台北市文山區試院里030鄰木柵路1段76巷內
980,自行車竊盜,1060903,01~03,台北市大安區和安里信義路3段147巷15弄1 ~ 30號
981,自行車竊盜,1060903,10~12,台北市信義區興雅里忠孝東路5段31巷17弄1 ~ 30號
982,自行車竊盜,1060903,16~18,台北市松山區復興北路427巷1 ~ 30號
983,自行車竊盜,1060904,07~09,台北市南港區玉成里南港路3段149巷1 ~ 30號
984,自行車竊盜,1060906,07~09,台北市文山區萬祥里羅斯福路5段269巷1 ~ 30號
985,自行車竊盜,1060906,16~18,台北市文山區景美里羅斯福路6段271 ~ 300號
986,自行車竊盜,1060907,04~06,台北市中正區頂東里羅斯福路2段151 ~ 180號
987,自行車竊盜,1060907,13~15,台北市大同區大橋頭捷運站1 ~ 30號出口
988,自行車竊盜,1060908,10~12,台北市中正區新營里寧波東街24巷1 ~ 30號
989,自行車竊盜,1060909,01~03,台北市中正區板溪里羅斯福路2段與和平西路1段西南角
990,自行車竊盜,1060911,10~12,台北市中正區水源里羅斯福路4段52巷1 ~ 30號
991,自行車竊盜,1060913,04~06,台北市南港區三重里經貿二路1 ~ 30號
992,自行車竊盜,1060914,13~15,台北市大同區玉泉里塔城街1 ~ 30號
993,自行車竊盜,1060915,01~03,台北市大安區學府里羅斯福路4段1 ~ 30號
994,自行車竊盜,1060915,07~09,台北市中正區幸福里忠孝東路1段
995,自行車竊盜,1060917,01~03,台北市中正區水源里羅斯福路4段31 ~ 60號前人行道(台北捷運公館站4號出口
996,自行車竊盜,1060917,01~03,台北市大安區古風里雲和街31 ~ 60號
997,自行車竊盜,1060917,10~12,台北市文山區景華里羅斯福路6段301 ~ 330號
998,自行車竊盜,1060917,13~15,台北市信義區長春里松信路151 ~ 180號
999,自行車竊盜,1060917,13~15,台北市中山區松江路361 ~ 390號
1000,自行車竊盜,1060919,04~06,台北市信義區三張里莊敬路325巷31 ~ 60號
1001,自行車竊盜,1060919,07~09,台北市信義區長春里松山路211 ~ 240號
1002,自行車竊盜,1060920,07~09,台北市北投區東華里東華街2段301 ~ 330號
1003,自行車竊盜,1060920,10~12,台北市信義區林口街24巷31 ~ 60號
1004,自行車竊盜,1060920,19~21,台北市中正區東門里仁愛路1段1 ~ 30號
1005,自行車竊盜,1060922,07~09,台北市信義區四育里松隆路151 ~ 180號
1006,自行車竊盜,1060922,13~15,台北市大同區鄭州路143巷
1007,自行車竊盜,1060923,19~21,台北市北投區吉利里石牌路1段39巷131弄1 ~ 30號
1008,自行車竊盜,1060924,01~03,台北市中正區東門里信義路1段1 ~ 30號
1009,自行車竊盜,1060925,16~18,台北市萬華區萬大路449巷10弄1 ~ 30號
1010,自行車竊盜,1060929,16~18,台北市文山區景行里景美街
1011,自行車竊盜,1060929,22~24,台北市大安區龍生里建國南路2段181 ~ 210號
1012,自行車竊盜,1060930,16~18,台北市大安區錦泰里金華街48巷1 ~ 30號
1013,自行車竊盜,1061002,13~15,台北市中正區板溪里羅斯福路2段91 ~ 120號
1014,自行車竊盜,1061002,22~24,台北市北投區文林里文林北路241 ~ 270號
1015,自行車竊盜,1061004,19~21,台北市萬華區西園路2段52巷1 ~ 30號
1016,自行車竊盜,1061006,07~09,台北市信義區興雅里松高路1 ~ 30號
1017,自行車竊盜,1061006,16~18,台北市中山區復興北路380巷8弄內
1018,自行車竊盜,1061007,10~12,台北市中正區林興里羅斯福路3段121 ~ 150號
1019,自行車竊盜,1061010,07~09,台北市文山區樟腳里010鄰木新路3段91 ~ 120號
1020,自行車竊盜,1061010,19~21,台北市大安區德安里四維路66巷
1021,自行車竊盜,1061011,13~15,台北市松山區市民大道6段松山火車站北側人行道
1022,自行車竊盜,1061011,19~21,台北市中正區黎明里中山南路2巷7~11旁停車場
1023,自行車竊盜,1061012,01~03,台北市大安區光明里信義路2段86巷1 ~ 30號
1024,自行車竊盜,1061013,22~24,台北市中正區龍興里三元街151 ~ 180號
1025,自行車竊盜,1061015,10~12,台北市松山區寶清街61 ~ 90號
1026,自行車竊盜,1061015,16~18,台北市北投區奇岩捷運站旁
1027,自行車竊盜,1061016,04~06,台北市中山區建國北路3段31 ~ 60號
1028,自行車竊盜,1061017,10~12,台北市大安區義村里忠孝東路3段248巷1 ~ 30號
1029,自行車竊盜,1061018,16~18,台北市信義區四育里市民大道6段虎林街口
1030,自行車竊盜,1061019,10~12,台北市松山區八德路4段631 ~ 660號
1031,自行車竊盜,1061019,10~12,台北市大安區仁慈里大安路1段151 ~ 180號
1032,自行車竊盜,1061022,22~24,台北市中正區文北里臨沂街31 ~ 60號
1033,自行車竊盜,1061023,04~06,台北市大安區住安里大安路2段53巷
1034,自行車竊盜,1061023,22~24,台北市南港區鴻福里玉成街201巷8弄1 ~ 30號
1035,自行車竊盜,1061025,01~03,台北市大同區國慶里民族西路211 ~ 240號
1036,自行車竊盜,1061027,22~24,台北市北投區榮光里西安街1段211 ~ 240號
1037,自行車竊盜,1061028,13~15,台北市中山區錦西街1 ~ 30號
1038,自行車竊盜,1061030,10~12,台北市文山區景華里三福街1 ~ 30號
1039,自行車竊盜,1061031,10~12,台北市信義區三張里吳興街281巷31 ~ 60號
1040,自行車竊盜,1061102,07~09,台北市信義區新仁里忠孝東路4段553巷6弄1 ~ 30號
1041,自行車竊盜,1061103,07~09,台北市萬華區廣州街31 ~ 60號
1042,自行車竊盜,1061103,19~21,台北市大安區通安里臨江街118巷3弄1 ~ 30號
1043,自行車竊盜,1061106,19~21,台北市士林區葫蘆里葫蘆街163巷
1044,自行車竊盜,1061107,04~06,台北市士林區聖山里忠誠路1段151 ~ 180號
1045,自行車竊盜,1061107,10~12,台北市中山區南京東路3段151 ~ 180號
1046,自行車竊盜,1061108,19~21,台北市中山區錦州街211 ~ 240號
1047,自行車竊盜,1061109,13~15,台北市中正區梅花里市民大道3段1 ~ 30號
1048,自行車竊盜,1061109,16~18,台北市內湖區成功路4段167巷（內湖捷運站1 ~ 30號出口
1049,自行車竊盜,1061110,10~12,台北市中山區復興北路430巷1 ~ 30號
1050,自行車竊盜,1061112,16~18,台北市中正區常德街公園路
1051,自行車竊盜,1061116,16~18,台北市松山區八德路3段151 ~ 180號
1052,自行車竊盜,1061118,16~18,台北市中正區水源里羅斯福路4段121 ~ 150號
1053,自行車竊盜,1061119,16~18,台北市大安區龍門里大安森林公園捷運站1 ~ 30號出口
1054,自行車竊盜,1061121,13~15,台北市北投區智仁里中和街493巷1 ~ 30號
1055,自行車竊盜,1061121,22~24,台北市文山區興豐里興隆路2段95巷
1056,自行車竊盜,1061122,01~03,台北市大安區住安里信義路4段1 ~ 30號
1057,自行車竊盜,1061123,04~06,台北市南港區西新里向陽路1 ~ 30號
1058,自行車竊盜,1061124,19~21,台北市北投區大同里光明路1 ~ 30號
1059,自行車竊盜,1061126,07~09,台北市大同區長安西路52巷
1060,自行車竊盜,1061127,13~15,台北市北投區永明里立農街2段與義理街口
1061,自行車竊盜,1061127,19~21,台北市萬華區康定路與桂林路口
1062,自行車竊盜,1061129,07~09,台北市大安區龍門里新生南路2段1 ~ 30號
1063,自行車竊盜,1061202,07~09,台北市大安區龍安里新生南路2段61 ~ 90號
1064,自行車竊盜,1061202,19~21,台北市中正區幸市里濟南路2段家樂福便利購旁的防火巷
1065,自行車竊盜,1061203,13~15,台北市大安區龍門里新生南路與金華街口大安森林公園1 ~ 30號出口
1066,自行車竊盜,1061203,16~18,台北市文山區興邦里興隆路2段151 ~ 180號
1067,自行車竊盜,1061203,19~21,台北市文山區景行里景文街91 ~ 120號
1068,自行車竊盜,1061205,04~06,台北市大同區民族西路76巷39弄
1069,自行車竊盜,1061206,04~06,台北市信義區永吉里松隆路331 ~ 360號
1070,自行車竊盜,1061206,13~15,台北市士林區社子里16鄰延平北路6段91 ~ 120號
1071,自行車竊盜,1061207,10~12,台北市中正區建國里重慶南路1段121 ~ 150號
1072,自行車竊盜,1061210,16~18,台北市中正區水源里汀州路3段104巷（自來水公園）
1073,自行車竊盜,1061210,19~21,台北市士林區德行里福華路164巷1 ~ 30號
1074,自行車竊盜,1061211,01~03,台北市文山區興得里興隆路3段36巷16弄1 ~ 30號
1075,自行車竊盜,1061211,10~12,台北市北投區石牌里15鄰西安街1段151 ~ 180號
1076,自行車竊盜,1061213,01~03,台北市萬華區成都路61 ~ 90號
1077,自行車竊盜,1061215,16~18,台北市大安區龍圖里13鄰瑞安街154巷31 ~ 60號
1078,自行車竊盜,1061215,16~18,台北市大同區寧夏路一帶
1079,自行車竊盜,1061215,16~18,台北市信義區富台里忠孝東路5段271 ~ 300號
1080,自行車竊盜,1061215,22~24,台北市大安區新生南路3段61 ~ 90號
1081,自行車竊盜,1061216,04~06,台北市大同區環河北路1段271 ~ 300號
1082,自行車竊盜,1061216,10~12,台北市士林區承德里18鄰基河路1 ~ 30號
1083,自行車竊盜,1061216,13~15,台北市大安區福住里信義路與新生南路口
1084,自行車竊盜,1061216,16~18,台北市松山區撫遠街389巷1 ~ 30號
1085,自行車竊盜,1061217,07~09,台北市士林區福德里福德路1 ~ 30號
1086,自行車竊盜,1061223,07~09,台北市大安區群賢里復興南路2段151 ~ 180號
1087,自行車竊盜,1061223,13~15,台北市大安區龍安里10鄰青田街5巷1 ~ 30號
1088,自行車竊盜,1061225,19~21,台北市文山區興得里9鄰興隆路3段31 ~ 60號
1089,自行車竊盜,1061226,22~24,台北市大安區龍圖里信義路3段91 ~ 120號
1090,自行車竊盜,1061227,07~09,台北市信義區長春里松山路271 ~ 300號
1091,自行車竊盜,1070101,01~03,台北市信義區廣居里忠孝東路5段372巷27弄1 ~ 30號
1092,自行車竊盜,1070101,07~09,台北市大同區南京西路25巷1 ~ 30號
1093,自行車竊盜,1070102,22~24,台北市文山區木柵里030鄰木柵路3段91 ~ 120號
1094,自行車竊盜,1070104,01~03,台北市大同區赤峰街1 ~ 30號
1095,自行車竊盜,1070104,13~15,台北市萬華區西寧南路1 ~ 30號
1096,自行車竊盜,1070104,16~18,台北市萬華區康定路361 ~ 390號
1097,自行車竊盜,1070109,07~09,台北市北投區林泉里泉源路1 ~ 30號
1098,自行車竊盜,1070112,04~06,台北市中正區南門里小南門捷運站1 ~ 30號出口
1099,自行車竊盜,1070118,16~18,台北市內湖區環山路2段91 ~ 120號
1100,自行車竊盜,1070118,19~21,台北市中正區網溪里7鄰同安街80巷1 ~ 30號
1101,自行車竊盜,1070118,19~21,台北市大同區民權西路245巷31 ~ 60號
1102,自行車竊盜,1070120,07~09,台北市松山區八德路3段1 ~ 30號
1103,自行車竊盜,1070122,07~09,台北市文山區興光里興隆路3段115巷
1104,自行車竊盜,1070123,10~12,台北市大同區赤峰街53巷1 ~ 30號
1105,自行車竊盜,1070124,01~03,台北市信義區莊敬路421 ~ 450號
1106,自行車竊盜,1070128,01~03,台北市內湖區港富里內湖路1段737巷41弄1 ~ 30號
1107,自行車竊盜,1070131,19~21,台北市大同區延平北路2段91 ~ 120號
1108,自行車竊盜,1070212,16~18,台北市文山區樟林里016鄰忠順街1段41巷3弄1 ~ 30號
1109,自行車竊盜,1070215,10~12,台北市中正區水源里思源街1 ~ 30號
1110,自行車竊盜,1070219,16~18,台北市大安區龍門里辛亥路2段31 ~ 60號
1111,自行車竊盜,1070221,01~03,台北市萬華區峨嵋街1 ~ 30號
1112,自行車竊盜,1070225,19~21,台北市大安區芳和里嘉興街363巷1 ~ 30號
